x,y,z
7.34994,6.76335,0.485288
-5.75001,6.75935,4.60962
1.12713,6.75535,-7.28662
4.09334,6.75135,6.13709
-7.16729,6.74735,-1.7616
6.47787,6.74335,-3.54463
-2.38382,6.73935,6.99275
-2.96766,6.73535,-6.76965
6.76424,6.73135,2.98899
-7.01008,6.72735,2.36678
3.57243,6.72334,-6.4834
1.74657,6.71934,7.19722
-6.15228,6.71534,-4.12961
7.32952,6.71134,-1.11175
-4.65621,6.70734,5.77332
-0.467154,6.70334,-7.40588
5.34935,6.69934,5.14814
-7.42558,6.69534,-0.182278
5.60153,6.69134,-4.88353
-0.831575,6.68734,7.38837
-4.37934,6.68334,-6.01285
7.29442,6.67934,1.47575
-6.37885,6.67533,3.8406
2.10986,6.67133,-7.14435
3.27136,6.66733,6.69663
-6.9392,6.66333,-2.729
6.96367,6.65933,-2.67594
-3.3284,6.65533,6.68044
-2.05886,6.65133,-7.17781
6.36995,6.64733,3.90343
-7.33731,6.64333,1.4248
4.44961,6.63933,-6.01002
0.778616,6.63533,7.44085
-5.6033,6.63133,-4.96271
7.48751,6.62733,-0.12523
-5.43872,6.62332,5.15285
0.530354,6.61932,-7.47685
4.66203,6.61532,5.87393
-7.40882,6.61132,-1.18311
6.2649,6.60732,-4.13452
-1.82802,6.60332,7.28385
-3.57432,6.59932,-6.60857
7.10279,6.59532,2.46011
-6.9022,6.59132,2.98567
3.07453,6.58732,-6.86691
2.37214,6.58332,7.14373
-6.57794,6.57932,-3.66651
7.33035,6.57531,-1.74102
-4.23071,6.57131,6.2385
-1.09359,6.56731,-7.46153
5.84956,6.56331,4.76504
-7.53547,6.55931,0.438392
5.26238,6.55531,-5.4162
-0.223208,6.55131,7.55186
-4.93923,6.54731,-5.7216
7.51042,6.54331,0.882475
-6.13659,6.53931,4.4249
1.53801,6.53531,-7.41109
3.8742,6.53131,6.50635
-7.25513,6.52731,-2.18115
6.82595,6.5233,-3.29437
-2.81049,6.5193,7.04271
-2.68656,6.5153,-7.09459
